movie_id,Crime,Drama,Comedy,Action,Thriller,Adventure,Science Fiction,Animation,Family,Romance,Mystery,Music,Horror,Fantasy,Documentary,War,Western,History,Foreign,TV Movie,imdb_id,popularity,release_date,vote_average,vote_count,revenue,budget,Cast 1,Cast 2,Production,Month,Year,Error
343611,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt3393786,15.60562,2016-10-19,5.3,1843.0,162146076,60000000,1.0,1.0,4,10,2016,1
343611,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt3393786,15.60562,2016-10-19,5.3,1843.0,162146076,60000000,1.0,1.0,1,10,2016,1
343611,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt3393786,15.60562,2016-10-19,5.3,1843.0,162146076,60000000,1.0,1.0,1,10,2016,1
343611,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt3393786,15.60562,2016-10-19,5.3,1843.0,162146076,60000000,1.0,1.0,1,10,2016,1
343611,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt3393786,15.60562,2016-10-19,5.3,1843.0,162146076,60000000,1.0,1.0,1,10,2016,1
345920,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt4682786,14.575883,2016-12-06,6.9,1553.0,88528280,36000000,1.0,1.0,2,12,2016,1
345920,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt4682786,14.575883,2016-12-06,6.9,1553.0,88528280,36000000,1.0,1.0,2,12,2016,1
345920,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt4682786,14.575883,2016-12-06,6.9,1553.0,88528280,36000000,1.0,1.0,1,12,2016,1
345920,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt4682786,14.575883,2016-12-06,6.9,1553.0,88528280,36000000,1.0,1.0,1,12,2016,1
345920,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt4682786,14.575883,2016-12-06,6.9,1553.0,88528280,36000000,1.0,1.0,1,12,2016,1
345920,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt4682786,14.575883,2016-12-06,6.9,1553.0,88528280,36000000,1.0,1.0,1,12,2016,1
345938,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt2872518,16.392712,2017-03-03,6.9,330.0,96942115,20000000,1.0,1.0,1,3,2017,1
345938,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt2872518,16.392712,2017-03-03,6.9,330.0,96942115,20000000,1.0,1.0,1,3,2017,1
346672,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,tt3717252,20.02976,2016-11-28,5.2,1619.0,81093313,35000000,1.0,1.0,1,11,2016,1
346672,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,tt3717252,20.02976,2016-11-28,5.2,1619.0,81093313,35000000,1.0,1.0,1,11,2016,1
346672,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,tt3717252,20.02976,2016-11-28,5.2,1619.0,81093313,35000000,1.0,1.0,1,11,2016,1
346685,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,tt3631112,10.217291,2016-10-05,6.2,1837.0,173185859,45000000,1.0,1.0,1,10,2016,1
346685,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,tt3631112,10.217291,2016-10-05,6.2,1837.0,173185859,45000000,1.0,1.0,1,10,2016,1
346685,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,tt3631112,10.217291,2016-10-05,6.2,1837.0,173185859,45000000,1.0,1.0,1,10,2016,1
347026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tt3387266,6.249112,2016-11-25,6.5,84.0,13819139,14000000,1.0,1.0,1,11,2016,1
347031,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,tt4034354,9.196678,2016-06-24,6.8,839.0,4935501,3000000,1.0,1.0,1,6,2016,1
348025,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt3613648,3.052225,2015-10-14,5.0,26.0,3424810,8000000,1.0,1.0,1,10,2015,1
348025,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt3613648,3.052225,2015-10-14,5.0,26.0,3424810,8000000,1.0,1.0,1,10,2015,1
348537,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt3626742,4.941645,2015-11-20,5.3,126.0,40591862,4500000,1.0,1.0,1,11,2015,1
348668,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt4088268,6.859858,2016-03-03,6.8,110.0,9651271,39500000,1.0,1.0,1,3,2016,1
348668,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt4088268,6.859858,2016-03-03,6.8,110.0,9651271,39500000,1.0,1.0,1,3,2016,1
351037,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2586118,5.174641,2015-10-14,7.2,44.0,1369037,2200000,1.0,1.0,1,10,2015,1
351037,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2586118,5.174641,2015-10-14,7.2,44.0,1369037,2200000,1.0,1.0,1,10,2015,1
353069,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt4824302,8.309565,2016-04-28,5.8,391.0,48782670,25000000,1.0,1.0,1,4,2016,1
353069,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt4824302,8.309565,2016-04-28,5.8,391.0,48782670,25000000,1.0,1.0,1,4,2016,1
353069,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt4824302,8.309565,2016-04-28,5.8,391.0,48782670,25000000,1.0,1.0,1,4,2016,1
353069,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt4824302,8.309565,2016-04-28,5.8,391.0,48782670,25000000,1.0,1.0,1,4,2016,1
